0.25	0.173
0.40	0.162
0.60	0.153

0.80	0.143
1.0	0.133
1.20	0.132
1.40	0.122
1.60	0.120
1.80	0.124
2.0	0.127
2.20	0.130
2.40	0.142
2.60	0.161
2.80	0.185
3.0	0.208
3.20	0.230
3.40	0.255
3.60	0.273
3.80	0.279

4.0	0.248

4.25	0.203
4.5	0.158

4.75	0.133
	
5.0	0.108
5.25	0.114
5.5	0.118
5.75	0.121
6.0	0.125
6.25	0.129
6.5	0.132
6.75	0.136
7.0	0.14


